stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,text,location,Keywords,Count,Dict Class,Manual Class,Keywords,Count,Dict Class,Manual Class,Keywords,Count,Dict Class,Manual Class
463374946,2013-06-09 00:23:58,Gunman at college planned his rampage,http://www.sfgate.com/crime/article/Gunman-at-college-planned-his-rampage-4589484.php,en,False,politics and government,14,SF Chronicle,http://www.sfgate.com/,"['santa', 'monica', '--', 'shooting', 'rampage', 'killed', 'five', 'people', 'including', 'gunman', 'santa', 'monica', 'friday', 'premeditated', 'act', 'emotionally', 'troubled', 'man', 'armed', 'high-powered', 'weapons', 'may', '1,300', 'rounds', 'ammunition', 'law', 'enforcement', 'sources', 'said', 'saturday', 'authorities', 'named', 'gunman', 'killed', 'police', 'law', 'enforcement', 'sources', 'washington', 'd.c.', 'los', 'angeles', 'identified', 'john', 'zawahri', '23', 'several', 'sources', 'spoke', 'condition', 'anonymity', 'said', 'zawahri', 'struggled', 'parents', 'bitter', 'divorce', 'also', 'history', 'mental', 'issues', 'sources', 'said', 'could', 'specific', 'santa', 'monica', 'police', 'said', 'saturday', 'department', 'dealt', 'gunman', 'connection', 'incident', '2006', 'would', 'provide', 'details', 'juvenile', 'time', 'chief', 'jacqueline', 'seabrooks', 'also', 'said', 'officers', 'previously', 'gone', 'home', 'rampage', 'began', 'noon', 'friday', 'home', 'set', 'fire', 'authorities', 'found', 'gunman', 'father', 'samir', 'zawahri', '55', 'brother', 'chris', '25', 'dead', 'sources', 'said', 'police', 'said', 'rampage', 'lasted', '10', 'minutes', 'gunman', 'cutting', 'sharp', 'bloody', 'path', 'normally', 'quiet', 'streets', 'ended', 'zawahri', ""'d"", 'firing', 'semiautomatic', 'rifle', 'shot', 'campus', 'time', 'someone', 'puts', 'vest', 'sort', 'comes', 'bag', 'full', 'loaded', 'magazines', '...', 'handgun', 'semiautomatic', 'rifle', 'carjacks', 'folks', 'goes', 'college', 'kills', 'people', 'killed', 'hands', 'police', 'seabrooks', 'said', 'premeditated', 'close', 'friend', 'family', 'asked', 'identified', 'said', 'john', 'struggled', 'mental', 'health', 'problems', 'details', 'gunman', 'victims', 'available', 'saturday', 'partly', 'shooter', 'mother', 'identified', 'sources', 'randa', 'abdou', 'said', 'country', 'reached', 'police', 'john', 'zawahri', 'parents', 'divorced', 'years', 'neighbors', 'said', 'court', 'records', 'show', 'two', 'divorce', 'filings', 'one', 'filed', '1993', 'samir', 'zawahri', 'another', 'noting', 'domestic', 'violence', 'filed', 'abdou', '1998', 'family', 'moved', 'santa', 'monica', 'home', 'yorkshire', 'avenue', 'two', 'decades', 'ago', 'neighbors', 'said', 'couple', 'split', 'abdou', 'eventually', 'settled', 'apartment', '2', 'miles', 'away', 'son', 'chris', 'john', 'remained', 'father', 'police', 'still', 'searching', 'may', 'caused', 'rampage', 'seabrooks', 'said', 'gunman', 'would', 'turned', '24', 'saturday']",Santa_Monica,"['santa', 'monica', 'santa', 'monica', 'zawahri', 'zawahri', 'santa', 'monica', 'zawahri', 'zawahri', 'college', 'zawahri', 'zawahri', 'santa', 'monica']",15.0,1,1,"['santa', 'monica', 'santa', 'monica', 'police', 'zawahri', 'zawahri', 'santa', 'monica', 'police', 'zawahri', 'police', 'zawahri', 'college', 'police', 'police', 'zawahri', 'zawahri', 'domestic', 'santa', 'monica', 'police']",16.75,1,None,"['santa', 'monica', 'santa', 'monica', 'police', 'zawahri', 'zawahri', 'santa', 'monica', 'police', 'samir', 'zawahri', 'police', 'zawahri', 'college', 'police', 'police', 'zawahri', 'samir', 'zawahri', 'domestic', 'santa', 'monica', 'police']",18.75,1,None
125430006,2013-06-08 03:16:36,Another shooting rampage: Gunman killed after slaying 6 in Santa Monica ,http://www.cleveland.com/nation/index.ssf/2013/06/another_shooting_rampage_gunma.html,en,True,murders and attempted murders,1641,cleveland.com,http://www.cleveland.com/,"['santa.jpg', 'forensic', 'investigators', 'photograph', 'car', 'bullet', 'holes', 'across', 'home', 'caught', 'fire', 'santa', 'monica', 'calif.', 'friday', 'six', 'people', 'killed', 'shooting', 'rampage', 'shooter', 'killed', 'police', 'associated', 'press', 'nation', 'faces', 'shock', 'another', 'mass', 'shooting', 'santa', 'monica', 'police', 'chief', 'jacqueline', 'seabrooks', 'described', 'violent', 'shooting', 'rampage', 'appears', 'begun', 'noon', 'according', 'los', 'angeles', 'times', 'addiction', 'killing', 'four', 'gunman', 'shooting', 'short', 'distance', 'president', 'obama', 'attending', 'private', 'fund-raising', 'lunch', 'heading', 'palm', 'springs', 'meeting', 'president', 'china', 'gunman', 'immediately', 'identified', 'described', 'white', 'latino', 'curly', 'hair', '20', '30', 'years', 'old', 'according', 'usa', 'today', 'reportedly', 'wearing', 'body', 'armor', 'helmet', 'reportedly', 'carrying', 'military-style', 'assault', 'rifle', 'shotgun', 'handgun', 'ammunition', 'belt', 'cbs', 'news', 'said', 'seabrooks', 'told', 'reporters', 'rampage', 'began', 'house', 'california', 'coastal', 'city', 'gunman', 'made', 'way', 'santa', 'monica', 'college', 'seabrooks', 'said', 'gunman', 'killed', 'two', 'people', 'house', 'caught', 'fire', 'officers', 'came', 'directly', 'engaged', 'suspect', 'shot', 'killed', 'scene', 'seabrooks', 'said', 'three', 'women', 'went', 'ucla', 'medical', 'center', 'santa', 'monica', 'relatively', 'minor', 'injuries', 'morgan', 'said', 'one', 'shrapnel-type', 'injuries', 'two', 'others', 'injuries', 'related', 'gunfire', 'said', 'story', 'compiled', 'reports', 'los', 'angeles', 'times', 'new', 'york', 'times', 'usa', 'today', 'cbs', 'news', 'associated', 'press', 'note', 'readers', 'purchase', 'something', 'one', 'affiliate', 'links', 'may', 'earn', 'commission', 'registration', 'use', 'site', 'constitutes', 'acceptance', 'user', 'agreement', 'privacy', 'policy', 'cookie', 'statement', 'california', 'privacy', 'rights', 'user', 'agreement', 'updated', '1/1/21', 'privacy', 'policy', 'cookie', 'statement', 'updated', '5/1/2021', 'cookie', 'settings', '2021', 'advance', 'local', 'media', 'llc', 'rights', 'reserved', 'us', 'material', 'site', 'may', 'reproduced', 'distributed', 'transmitted', 'cached', 'otherwise', 'used', 'except', 'prior', 'written', 'permission', 'advance', 'local', 'community', 'rules', 'apply', 'content', 'upload', 'otherwise', 'submit', 'site', 'ad', 'choices']",Santa_Monica,"['santa', 'monica', 'santa', 'monica', 'santa', 'monica', 'college', 'santa', 'monica']",7.5,1,None,"['santa', 'monica', 'police', 'santa', 'monica', 'police', 'santa', 'monica', 'college', 'santa', 'monica']",8.0,1,None,"['santa', 'monica', 'police', 'santa', 'monica', 'police', 'santa', 'monica', 'college', 'santa', 'monica']",8.0,1,None
127490135,2013-06-13 15:22:39,"Robert J. Elisberg: Let's Hear It for the NRA, Again. And Again.",http://www.huffingtonpost.com/robert-j-elisberg/lets-hear-it-for-the-nra-_b_3435276.html?utm_hp_ref=crime&ir=Crime,en,False,murders and attempted murders,27502,HuffPost,http://www.huffingtonpost.com/#,"['columnist', 'screenwriter', 'feel', 'personal', 'horrified', 'recent', 'mass', 'shootings', 'santa', 'monica', 'left', 'five', 'dead', 'happened', 'three', 'miles', '--', 'half', 'mile', 'put', 'another', 'way', '900', 'yards', 'planned', 'go', 'day', 'got', 'busy', 'put', 'threat', 'reaction', 'wherever', 'would', 'occurred', 'reaction', '--', 'okay', 'soon', 'talk', 'tragedy', 'yet', 'tragedy', 'mean', 'mass', 'shooting', 'newtown', 'maybe', 'mean', 'aurora', 'colorado', 'perhaps', 'virginia', 'tech', '...', 'point', 'lose', 'track', 'always', 'soon', 'talk', 'mass', 'gun', 'tragedies', 'gun', 'manufacturer-owned', 'nra', 'far-right', 'fringe', 'group', ""'ve"", 'built', 'big', 'backlog', 'mass', 'gun', 'tragedies', 'read', 'weekend', 'gunman', '1,300', 'rounds', 'ammunition', 'would', 'seem', 'like', 'perfectly', 'fine', 'time', 'start', 'talking', 'mass', 'gun-killing', 'santa', 'monica', 'hey', 'think', 'killing', 'one', 'round', 'appropriate', 'start', 'talking', '1,300', 'rounds', 'would', 'demand', 'imagine', 'gunman', 'able', 'use', '1,300', 'rounds', 'one', 'figure', 'point', 'lucked', 'get', 'far', 'makes', 'palatable', 'talk', 'otherwise', 'world', 'would', 'probably', 'speechless', 'read', 'tuesday', 'teacher', 'spotted', 'alleged', 'killer', 'surfing', 'internet', 'assault', 'weapons', 'police', 'informed', 'admitted', 'psych', 'ward', 'would', 'seem', 'reasonable', 'assume', 'even', 'measures', 'taken', 'properly', 'someone', 'mental', 'problems', 'guns', 'still', 'get', 'hands', 'hey', 'think', 'someone', 'psychiatric', 'problem', 'get', 'hands', 'much', 'guns', 'ammunition', 'appropriate', 'time', 'taking', 'better', 'controls', 'keep', 'thinking', 'late-charlton', 'heston', 'infamous', 'line', 'president', 'gun', 'manufacturer-owned', 'nra', 'us', 'pry', 'guns', 'cold', 'dead', 'hands', 'tends', 'get', 'lost', 'chest-thumping', 'bravado', 'statement', 'mass-murdering', 'gunman', 'able', 'keep', 'gun', 'warm', 'live', 'hands', 'innocent', 'victims', 'whose', 'hands', 'ended', 'cold', 'even', 'dead', 'though', 'another', 'quote', 'mr.', 'heston', '--', 'apropos', 'nothing', 'went', 'high', 'school', 'whose', 'sister', 'lila', 'taught', 'northwestern', 'university', 'school', 'speech', 'got', 'bachelors', 'degree', 'speech', '--', 'also', 'comes', 'mind', 'said', 'meet', 'press', '1997', 'gun', 'hands', 'decent', 'person', 'threat', 'anybody', '--', 'except', 'bad', 'people', 'since', 'pretty', 'much', 'all-inclusive', 'would', 'assume', 'mr.', 'heston', 'all-continuing', 'universe', 'would', 'include', '4-year-old', 'boy', 'weekend', 'accidentally', 'shot', 'killed', 'father', 'cold', 'dead', 'hand', ""'m"", 'sure', 'father', 'thought', 'four-year-old', 'son', 'wonderfully', 'decent', 'even', 'gun', 'hands', 'posing', 'tragic', 'threat', 'way', 'year', 'saying', 'mr.', 'heston', 'elected', 'president', 'gun', 'manufacturer-owned', 'nra', 'would', 'seem', 'far-right', 'outlier', 'fringe', 'group', 'problem', 'sentiment', 'much', 'blood', 'cold-dead', 'hands', 'mass', 'killings', 'santa', 'monica', 'get', 'much', 'attention', 'nationally', 'many', 'recent', 'mass', 'killings', 'perhaps', 'five', 'people', 'killed', 'killer', '1,300', 'rounds', 'ammunition', 'repeat', '1,300', 'rounds', 'ammunition', 'imagine', '...', 'read', 'robert', 'j.', 'elisberg', 'matters', 'politics', 'entertainment', 'technology', 'humor', 'sports', 'things', 'visit', 'elisberg', 'industries', 'columnist', 'screenwriter', 'information', 'want', 'share', 'huffpost']",Santa_Monica,"['santa', 'monica', 'santa', 'monica', 'santa', 'monica']",5.5,1,None,"['santa', 'monica', 'santa', 'monica', 'police', 'santa', 'monica']",5.75,1,None,"['santa', 'monica', 'santa', 'monica', 'police', 'santa', 'monica']",5.75,1,1
713235040,2013-06-11 00:46:36,Santa Monica’s strict no guns policy questioned after mass shooting,http://dailycaller.com/2013/06/11/santa-monicas-strict-no-guns-policy-questioned-after-mass-shooting/,en,False,"education and schools,colleges and universities,gun control,firearms,murders and attempted murders",18775,Daily Caller,http://dailycaller.com,"['wake', 'mass', 'shooting', 'culminated', 'santa', 'monica', 'college', 'california', 'administrators', 'defended', 'college', 'strict', 'guns', 'policy', 'despite', 'criticism', 'say', 'so-called', 'gun', 'free', 'zones', 'prevent', 'crime', 'friday', '23-year-old', 'john', 'zawahri', 'shot', 'killed', 'father', 'brother', 'forced', 'woman', 'drive', 'campus', 'santa', 'monica', 'college', 'killed', 'three', 'people', 'police', 'eventually', 'arrived', 'scene', 'killed', 'zawahri', 'exchange', 'gunfire', 'college', 'policy', 'california', 'law', 'forbid', 'anyone', 'law', 'enforcement', 'officials', 'bringing', 'guns', 'campus', 'college', 'spokesman', 'says', 'school', 'determined', 'maintain', 'ban', 'firearms', 'school', 'president', 'argues', 'rampage', 'technically', 'school', 'shooting', 'possessions', 'firearms', 'replicas', 'ammunition', 'explosives', 'knives/blades', 'longer', '21/2', 'inches', 'weapons', 'fireworks', 'law', 'college', 'community', 'college–sponsored', 'activities', 'according', 'smc', 'website', 'california', 'penal', 'codes', '626.9', '626.10', 'also', 'prohibit', 'possession', 'firearms', 'including', 'pellet', 'bb', 'guns', 'college', 'property', 'without', 'specific', 'written', 'permission', 'chief', 'police.', 'conservative', 'commentators', 'frequently', 'question', 'whether', 'gun', 'free', 'zones', 'like', 'one', 'effect', 'smc', 'actually', 'deter', 'violence', 'john', 'lott', 'economist', 'author', 'book', 'guns', 'less', 'crime', 'written', 'mass', 'shooters', 'actively', 'seek', 'gun', 'free', 'zones', 'knowing', 'less', 'likely', 'encounter', 'armed', 'resistance', 'since', 'bystanders', 'weapons', 'news', 'stories', 'mention', 'another', 'attack', 'occurred', 'guns', 'banned', 'wrote', 'recent', 'blog', 'post', 'smc', 'shooting', 'point', 'everyone', 'understand', 'pattern', 'here.', 'universities', 'able', 'decide', 'whether', 'want', 'allow', 'people', 'carry', 'guns', 'campus', 'wrote', 'jacob', 'hornberger', 'president', 'future', 'freedom', 'foundation', 'state', 'butt', 'matter', 'wrote', 'email', 'daily', 'caller', 'news', 'foundation', 'one', 'university', 'says', 'guns', 'allowed', 'another', 'says', 'guns', 'allowed', 'it.', 'hornberger', 'wrote', 'would', 'inclined', 'attend', 'university', 'allowed', 'students', 'staff', 'arm', 'however', 'would-be', 'murderer', 'would', 'crazy', 'go', 'shooting', 'spree', 'anything', 'gun-free', 'university', 'wrote', 'gun-free', 'university', 'would', 'know', 'one', 'would', 'able', 'defend', 'himself.', 'spokesperson', 'smc', 'said', 'college', 'reason', 'reconsider', 'gun', 'ban', 'regardless', 'state', 'california', 'gun', 'laws', 'need', 'revisit', 'allow', 'guns', 'said', 'interview', 'dc', 'news', 'foundation', 'explicitly', 'banned.', 'public', 'statement', 'made', 'friday', 'college', 'president', 'chui', 'tsang', 'said', 'crime', 'meet', 'definition', 'school', 'shooting', 'want', 'reiterate', 'today', 'incident', 'school', 'shooting', 'said', 'began', 'campus', 'result', 'shooting', 'suspect', 'attempting', 'evade', 'officers', 'running', 'campus.', 'final', 'three', 'victims', 'however', 'staff', 'members', 'students', 'killed', 'near', 'smc', 'grounds', 'according', 'subsequent', 'reports', 'also', 'reported', 'zawahri', 'connection', 'smc', 'history', 'mental', 'illness', 'previous', 'run-in', 'police', 'follow', 'robby', 'twitter', 'content', 'created', 'daily', 'caller', 'news', 'foundation', 'available', 'without', 'charge', 'eligible', 'news', 'publisher', 'provide', 'large', 'audience', 'licensing', 'opportunities', 'original', 'content', 'please', 'contact', 'licensing', 'dailycallernewsfoundation.org', 'content', 'created', 'daily', 'caller', 'news', 'foundation', 'available', 'without', 'charge', 'eligible', 'news', 'publisher', 'provide', 'large', 'audience', 'licensing', 'opportunities', 'original', 'content', 'please', 'contact', 'licensing', 'dailycallernewsfoundation.org', 'daily', 'caller', '1775', 'eye', 'street', 'nw', 'suite', '1150-290', 'washington', 'dc', '20006']",Santa_Monica,"['santa', 'monica', 'college', 'college', 'zawahri', 'santa', 'monica', 'college', 'zawahri', 'college', 'college', 'college', 'college', 'college', 'college', 'zawahri']",12.25,1,None,"['santa', 'monica', 'college', 'college', 'zawahri', 'santa', 'monica', 'college', 'police', 'zawahri', 'college', 'college', 'college', 'college', 'college', 'college', 'zawahri', 'police']",12.75,1,1,"['santa', 'monica', 'college', 'college', 'zawahri', 'santa', 'monica', 'college', 'police', 'zawahri', 'college', 'college', 'college', 'college', 'college', 'college', 'zawahri', 'police']",12.75,1,None
