stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,text,location,Keywords,Count,Dict Class,Manual Class,Keywords,Count,Dict Class,Manual Class
607301040,2007-12-20 16:22:58,Trojan Horse Gun Control: The NRA Wins on the NICS Bill | The Huffington Post,http://www.huffingtonpost.com/josh-sugarmann/trojan-horse-gun-control-_b_77754.html,en,False,"politics and government,law and legislation,gun control,firearms",27502,HuffPost,http://www.huffingtonpost.com/#,"['executive', 'director', 'violence', 'policy', 'center', 'last', 'night', 'congress', 'passed', 'nics', 'improvement', 'act', 'bill', 'prior', 'incarnations', 'designed', 'improve', 'records', 'available', 'national', 'instant', 'criminal', 'background', 'check', 'system', 'nics', '--', 'national', 'system', 'used', 'screen', 'gun', 'buyers', 'much', 'made', 'bill', 'bi-partisan', 'triangulating', 'support', 'democrats', 'republicans', 'national', 'rifle', 'association', 'brady', 'campaign', 'beyond', 'cheery', 'bon', 'temps', 'little', 'public', 'attention', 'paid', 'bill', 'actually', 'beyond', 'title', 'start', 'looking', 'details', 'bill', '--', 'especially', 'nra-backed', 'changes', 'made', 'oklahoma', 'senator', 'tom', 'coburn', '--', 'becomes', 'clear', 'measure', 'nothing', 'less', 'pro-gun', 'trojan', 'horse', 'organization', 'violence', 'policy', 'center', 'national', 'gun', 'control', 'groups', 'voiced', 'strong', 'concerns', 'version', 'bill', 'passed', 'congress', 'concerns', 'validated', 'none', 'nra', 'bill', 'passage', 'issued', 'press', 'release', 'crowed', 'months', 'careful', 'negotiation', 'pro-gun', 'legislation', 'passed', 'congress', 'today', 'national', 'rifle', 'association', 'nra', 'worked', 'closely', 'senator', 'tom', 'coburn', 'r-okla.', 'address', 'concerns', 'regarding', 'h.r', '2640', 'national', 'instant', 'check', 'system', 'nics', 'improvement', 'act', 'changes', 'make', 'good', 'bill', 'even', 'better', 'end', 'product', 'win', 'american', 'gun', 'owners', 'late', 'yesterday', 'anti-gun', 'senator', 'ted', 'kennedy', 'd-ma', 'failed', 'delay', 'progress', 'pro-gun', 'measure', 'violence', 'policy', 'center', 'coalition', 'stop', 'gun', 'violence', 'gun', 'control', 'gun', 'ban', 'groups', 'opposed', 'passage', 'legislation', 'many', 'pro-gun', 'improvements', 'contained', 'within', 'nra', 'thrall', 'alleged', 'gun', 'control', 'bill', 'reasons', 'bill', 'would', 'resuscitate', 'failed', 'government', 'program', 'spent', 'millions', 'dollars', 'annually', 'allow', 'persons', 'prohibited', 'buying', 'guns', 'regain', 'ability', 'legally', 'acquire', 'firearms', 'department', 'veterans', 'affairs', 'va', 'would', 'required', 'establish', 'relief', 'disability', 'program', 'allow', 'persons', 'prohibited', 'possessing', 'firearm', 'adjudicated', 'mental', 'defective', 'committed', 'mental', 'institution', 'apply', 'bar', 'firearms', 'possession', 'removed', 'result', 'bill', '116,000', 'individuals', 'would', 'eligible', 'apply', 'states', 'would', 'also', 'required', 'establish', 'relief', 'programs', 'restore', 'gun', 'privileges', 'mental', 'health', 'disabilities', 'order', 'eligible', 'potential', 'grant', 'money', 'upgrade', 'records', 'submitted', 'nics', 'bureau', 'alcohol', 'tobacco', 'firearms', 'explosives', 'atf', 'used', 'run', 'similar', 'program', 'addition', 'mental', 'disabilities', 'even', 'allowed', 'felons', 'apply', 'relief', 'annual', 'costs', 'atf', 'program', 'ballooned', '4', 'million', '1991', 'average', 'cost', '4,800', 'per', 'applicant', '43', 'full-time', 'employees', 'dedicated', 'processing', 'applications', 'congress', 'shut', 'atf', 'program', '1992', 'high', 'cost', 'inefficiency', 'threat', 'public', 'safety', 'among', 're-armed', 'tax', 'dollars', 'kidnappers', 'rapists', 'terrorists', 'bill', 'also', 'sets', 'arbitrary', 'time', 'limit', 'va', 'act', 'applications', 'relief', 'agency', 'fails', 'act', 'within', '365', 'days', 'applicants', 'file', 'lawsuit', 'asking', 'court', 'restore', 'gun', 'privileges', '--', 'even', 'congress', 'fails', 'provide', 'va', 'appropriate', 'resources', 'process', 'investigations', 'prevailing', 'applicants', 'would', 'entitled', 'attorneys', 'fees', 'provision', 'contrary', 'unanimous', '2002', 'u.s.', 'supreme', 'court', 'ruling', 'atf', 'failure', 'act', 'relief', 'application', 'felon', 'lack', 'appropriations', 'constitute', 'denial', 'would', 'entitle', 'applicant', 'judicial', 'review', 'decision', 'noted', 'courts', 'ill-equipped', 'make', 'decisions', 'individual', 'applications', 'relief', 'standards', 'would', 'apply', 'nics', 'improvement', 'act', 'stating', 'whether', 'applicant', 'likely', 'act', 'manner', 'dangerous', 'public', 'safety', 'presupposes', 'inquiry', 'applicant', 'background', '--', 'function', 'best', 'performed', 'executive', 'unlike', 'courts', 'institutionally', 'equipped', 'conducting', 'neutral', 'wide-ranging', 'investigation', 'similarly', 'public', 'interest', 'standard', 'calls', 'inherently', 'policy-based', 'decision', 'best', 'left', 'hands', 'agency', 'bill', 'significantly', 'narrows', 'category', 'records', 'people', 'mental', 'disabilities', 'would', 'submitted', 'nics', 'federal', 'government', 'current', 'permanent', 'bar', 'persons', 'certain', 'mental', 'health', 'disabilities', 'would', 'replaced', 'temporary', 'restrictions', 'solution', 'bill', '--', 'hijacked', 'gun', 'lobby', '--', 'part', 'problem', 'intended', 'congress', 'response', 'mass', 'shooting', 'virginia', 'tech', 'focusing', 'improving', 'current', 'laws', 'prohibiting', 'people', 'certain', 'mental', 'health', 'disabilities', 'buying', 'guns', 'bill', 'nothing', 'gun', 'lobby', 'wish', 'list', 'waste', 'millions', 'taxpayer', 'dollars', 'restoring', 'gun', 'privileges', 'persons', 'previously', 'determined', 'present', 'danger', 'others', 'yes', 'bill', 'authorize', '200', 'million', 'dollars', 'year', 'five', 'years', 'improve', 'submission', 'mental', 'health', 'records', 'nics', 'even', 'brady', 'law', 'authorized', 'level', 'never', 'come', 'anywhere', 'near', 'level', 'actual', 'funding', 'anyone', 'really', 'believe', 'nra', 'going', 'lobby', 'appropriations', 'committees', 'fully', 'fund', 'measure', ""'ll"", 'spending', 'time', 'ensuring', 'enough', 'money', 'fund', 'components', 'bill', 'really', 'care', '--', 'like', 'federal', 'state', 'relief', 'disability', 'programs', '--', 'one', 'else', 'seems', 'want', 'talk', 'bottom', 'line', 'known', 'bad', 'bill', 'far', 'outweighs', 'hoped-for', 'good', 'concerns', 'aspects', 'bill', 'abstract', 'according', 'research', 'published', 'earlier', 'year', 'male', 'u.s.', 'veterans', 'twice', 'likely', 'commit', 'suicide', 'men', 'military', 'service', 'likely', 'kill', 'gun', 'others', 'commit', 'suicide', 'men', 'military', 'background', '58', 'percent', 'likely', 'used', 'firearm', 'kill', 'non-veterans', 'committed', 'suicide', 'add', 'fact', 'veterans', 'likely', 'guns', 'general', 'population', 'veterans', 'mental', 'health', 'problems', 'may', 'present', 'special', 'risks', 'gun', 'violence', '2000', 'new', 'york', 'times', 'examined', '100', 'rampage', 'shootings', 'found', 'majority', '52', 'percent', 'killers', 'military', 'times', 'review', 'also', 'found', '47', 'percent', 'rampage', 'killers', 'history', 'mental', 'problems', '42', 'percent', 'seen', 'mental', 'health', 'professionals', 'inevitable', 'tragedies', 'occur', 'result', 'bill', 'veterans', 'mental', 'health', 'disabilities', '--', 'given', 'guns', 'instead', 'help', '--', 'turn', 'weapons', 'families', 'public', 'inevitable', 'question', 'happen', 'question', 'asked', 'willing', 'answer', 'executive', 'director', 'violence', 'policy', 'center']",Omaha,"['suicide', 'suicide', 'suicide']",1.5,0,0,"['suicide', 'suicide', 'suicide']",1.5,0,0
716139742,2007-12-18 12:00:00,Fake Tweets Surface After Shootings,http://abcnews.go.com/Technology/newtown-connecticut-school-shooting-spurs-fake-adam-lanza/story?id=18000970,en,False,"computers and the internet,crime and criminals,children and youth,murders and attempted murders",39000,ABC News,http://abcnews.go.com/,"['police', 'warn', 'online', 'adam', 'lanza', 'impersonators', 'newtown', 'school', 'shooting', 'sparks', 'false', 'postings', 'web', 'dec.', '17', '2012', '--', 'even', 'national', 'tragedy', 'safe', 'social', 'media', 'tomfoolery', 'hoaxes', 'mass', 'shooting', 'elementary', 'school', 'newtown', 'conn.', 'friday', 'left', '20', 'children', 'six', 'adults', 'dead', 'people', 'took', 'twitter', 'facebook', 'share', 'sympathies', 'discuss', 'political', 'action', 'took', 'creating', 'online', 'disruption', '--', 'created', 'fake', 'twitter', 'youtube', 'facebook', 'profiles', 'appearing', 'adam', 'lanza', 'shooter', 'brother', 'ryan', 'many', 'accounts', 'disabled', 'twitter', 'services', 'still', 'exist', 'instance', 'monday', 'afternoon', 'adam', 'lanza', 'accounts', 'twitter', 'one', 'description', 'said', 'murder', 'hire', 'another', 'said', 'name', 'adam', 'lanza', ""'m"", 'newtown', 'ct', 'hate', 'kids', 'mass', 'newtown', 'shooting', 'sparks', 'mass', 'social', 'media', 'action', 'press', 'conference', 'sunday', 'connecticut', 'state', 'police', 'lt.', 'j.', 'paul', 'vance', 'addressed', 'issue', 'misinformation', 'posted', 'social', 'media', 'sites', 'vance', 'said', 'misinformation', 'coming', 'people', 'posing', 'shooter', 'case', 'using', 'ids', 'mimicking', 'crime', 'crime', 'scene', 'criminal', 'activity', 'took', 'place', 'community', 'vance', 'said', 'important', 'note', 'discussed', 'federal', 'authorities', 'issues', 'crimes', 'investigated', 'statewide', 'federally', 'prosecution', 'take', 'place', 'people', 'perpetrating', 'information', 'identified', 'vance', 'specify', 'accounts', 'question', 'messages', 'specifically', 'shared', 'twitter', 'would', 'comment', 'accounts', 'taken', 'point', 'us', 'policy', 'parody', 'fan', 'accounts', 'twitter', 'users', 'allowed', 'create', 'parody', 'commentary', 'fan', 'accounts', 'including', 'role-playing', 'twitter', 'policy', 'says', 'number', 'rules', 'order', 'avoid', 'impersonation', 'account', 'profile', 'information', 'make', 'clear', 'creator', 'account', 'actually', 'person', 'entity', 'subject', 'parody/commentary', 'also', 'says', 'accounts', 'clear', 'intent', 'deceive', 'may', 'permanently', 'suspended', 'however', 'impersonating', 'might', 'crime', 'handful', 'states', 'laws', 'impersonation', 'brad', 'shear', 'washington', 'd.c.-area', 'attorney', 'blogger', 'expert', 'social', 'media', 'told', 'abc', 'news', 'instead', 'said', 'content', 'tweets', 'messages', 'could', 'well', 'considered', 'illegal', '--', 'instance', 'include', 'specific', 'online', 'threat', 'use', 'one', 'identity', 'financial', 'gain', 'intentionally', 'impeding', 'police', 'investigation', 'shear', 'said', 'absent', 'one', 'concluded', 'would', 'difficult', 'authorities', 'prosecute', 'addition', 'adam', 'lanza', 'impersonators', 'actor', 'morgan', 'freeman', 'impersonated', 'message', 'went', 'viral', 'facebook', 'message', 'attributed', 'freeman', 'criticized', 'news', 'media', 'treating', 'past', 'shooters', 'like', 'celebrities', 'circulated', 'facebook', 'along', 'photo', 'freeman', 'morgan', 'neither', 'wrote', 'posted', 'knowledge', 'whatsoever', 'ever', 'freeman', 'rep', 'told', 'abc', 'news', 'today', 'question', 'post', 'spread', 'fake', 'information', 'internet', 'question', 'perhaps', 'old', 'internet', 'pamela', 'rutledge', 'director', 'media', 'psychology', 'program', 'fielding', 'graduate', 'university', 'ucla', 'extension', 'said', 'situations', 'could', 'deeper', 'meaning', 'even', 'used', 'social', 'media', 'spread', 'false', 'information', 'could', 'argue', 'using', 'coping', 'method', 'feel', 'sort', 'power', 'agency', 'face', 'powerlessness', 'feel', '24/7', 'coverage', 'breaking', 'news', 'live', 'events']",Omaha,[],0,0,0,[],0,0,0
684838062,2008-01-23 07:00:00,Senate Panel Defeats Bill on Gun Show Sales,http://www.washingtonpost.com/wp-dyn/content/article/2008/01/23/AR2008012303558_pf.html,en,False,,2,Washington Post,http://washingtonpost.com,"['sandhya', 'somashekhar', 'washington', 'post', 'staff', 'writer', 'thursday', 'january', '24', '2008', 'richmond', 'jan.', '23', '--', 'bill', 'would', 'restricted', 'certain', 'gun', 'sales', 'virginia', 'received', 'passionate', 'support', 'survivors', 'virginia', 'tech', 'massacre', 'defeated', 'senate', 'committee', 'wednesday', 'ending', 'major', 'gun', 'control', 'effort', 'year', 'general', 'assembly', 'session', 'legislation', 'failed', 'repeatedly', 'years', 'taken', 'greater', 'urgency', 'year', 'april', '16', 'shootings', 'supporters', 'said', 'year', 'best', 'chance', 'winning', 'approval', 'virginia', 'tech', 'tragedy', 'gov', 'timothy', 'm.', 'kaine', 'made', 'priority', 'republicans', 'rural', 'democrats', 'senate', 'courts', 'justice', 'committee', 'teamed', 'reject', 'bill', 'would', 'required', 'background', 'checks', 'buyers', 'gun', 'shows', 'sens', 'richard', 'l.', 'saslaw', 'janet', 'd.', 'howell', 'linda', 't.', 'toddy', 'puller', 'fairfax', 'county', 'democrats', 'voted', 'favor', 'bill', 'sen.', 'ken', 'cuccinelli', 'ii', 'fairfax', 'republican', 'voted', 'current', 'law', 'people', 'buy', 'guns', 'licensed', 'dealers', 'must', 'checked', 'federal', 'database', 'identifies', 'convicted', 'felons', 'others', 'deemed', 'danger', 'community', '22', 'percent', '35', 'percent', 'gun', 'show', 'vendors', 'licenses', 'virginia', 'state', 'police', 'say', 'kaine', 'vote', 'setback', 'especially', 'senate', 'controlled', 'party', 'house', 'defeated', 'bill', 'last', 'week', 'kaine', 'asserted', 'effort', 'neither', 'others', 'could', 'overcome', 'power', 'state', 'gun', 'lobby', 'virginia', 'historic', 'support', 'gun', 'rights', 'spokesman', 'kaine', 'said', 'governor', 'disappointed', 'wednesday', 'vote', 'said', 'many', 'times', 'either', 'believe', 'felon', 'able', 'buy', 'gun', 'spokesman', 'gordon', 'hickey', 'said', 'vote', 'indicates', 'believe', 'felon', 'able', 'buy', 'gun', 'gun', 'show', 'gun', 'rights', 'groups', 'opposed', 'bill', 'saying', 'seung', 'hui', 'cho', 'virginia', 'tech', 'student', 'shot', 'killed', '32', 'people', 'buy', 'two', 'semiautomatic', 'weapons', 'used', 'shootings', 'gun', 'show', 'gun', 'control', 'advocates', 'however', 'said', 'would', 'close', 'loophole', 'state', 'law', 'could', 'allow', 'convicted', 'felons', 'dangerous', 'individuals', 'buy', 'guns', 'commit', 'similar', 'crimes', 'complete', 'utter', 'outrage', 'said', 'abigail', 'spangler', 'founder', 'alexandria-based', 'http', '//protesteasyguns.com', 'lobbied', 'bill', ""'m"", 'offended', 'behalf', 'virginians', 'year', 'tragedy', 'lost', 'fellow', 'virginians', 'largest', 'mass', 'shooting', 'virginia', 'history', 'sen.', 'r.', 'creigh', 'deeds', 'd-bath', 'generally', 'opposes', 'gun', 'restrictions', 'proposed', 'compromise', 'said', 'inspired', 'emotional', 'testimony', 'virginia', 'tech', 'families', ""'ve"", 'never', 'voted', 'legislation', 'like', 'think', 'important', 'end', 'respond', 'fashion', 'tragedy', 'virginia', 'tech', 'deeds', 'said', 'compromise', 'anyone', 'permit', 'carry', 'concealed', 'weapon', 'would', 'exempted', 'background', 'check', 'would', 'buying', 'antique', 'guns', 'addition', 'requirement', 'would', 'apply', 'gun', 'sales', 'take', 'place', 'parking', 'lots', 'outside', 'leased', 'area', 'gun', 'show', 'deed', 'proposal', 'persuade', '15-member', 'committee', 'seven', 'republicans', 'change', 'minds', 'sway', 'two', 'rural', 'democrats', 'including', 'john', 's.', 'edwards', 'roanoke', 'whose', 'district', 'includes', 'virginia', 'tech', 'panel', 'voted', 'send', 'issue', 'virginia', 'crime', 'commission', 'advisory', 'board', 'would', 'craft', 'recommendation', 'future', 'legislative', 'session', 'think', 'crime', 'commission', 'look', 'details', 'try', 'work', 'complexities', 'edwards', 'said', 'vote', 'came', 'relief', 'gun', 'rights', 'advocates', 'urged', 'lawmakers', 'set', 'aside', 'emotions', 'virginia', 'tech', 'tragedy', 'reject', 'bill', 'merits', 'argued', 'would', 'hurt', 'business', 'gun', 'shows', 'put', 'much', 'responsibility', 'backs', 'unlicensed', 'sellers', 'often', 'private', 'citizens', 'sell', 'guns', 'occasionally', 'moreover', 'said', 'would', 'hindered', 'constitutional', 'right', 'bear', 'arms', 'piece', 'property', 'free', 'sell', 'would', 'gotten', 'way', 'said', 'philip', 'van', 'cleave', 'president', 'virginia', 'citizens', 'defense', 'league', 'sen.', 'henry', 'l.', 'marsh', 'iii', 'd-richmond', 'visibly', 'upset', 'bill', 'rejected', 'year', 'several', 'times', 'voted', 'sending', 'crime', 'commission', 'saying', 'burying', 'ground', 'legislation', 'decision', 'continue', 'study', 'issue', 'heartened', 'andrew', 'goddard', 'whose', 'son', 'colin', 'goddard', 'shot', 'four', 'times', 'cho', 'survived', 'know', 'heart', 'side', 'right', 'overcome', 'eventually', 'said', 'goddard', 'henrico', 'county', 'feel', 'confident', 'people', 'virginia', 'one', 'day', 'view', 'comments', 'posted', 'article', '2008', 'washington', 'post', 'company', 'richmond', 'jan.', '23', '--', 'bill', 'would', 'restricted', 'certain', 'gun', 'sales', 'virginia', 'received', 'passionate', 'support', 'survivors', 'virginia', 'tech', 'massacre', 'defeated', 'senate', 'committee', 'wednesday', 'ending', 'major', 'gun', 'control', 'effort', 'year', 'general', 'assembly', 'session', 'legislation', 'failed', 'repeatedly', 'years', 'taken', 'greater', 'urgency', 'year', 'april', '16', 'shootings', 'supporters', 'said', 'year', 'best', 'chance', 'winning', 'approval', 'virginia', 'tech', 'tragedy', 'gov', 'timothy', 'm.', 'kaine', 'made', 'priority', 'republicans', 'rural', 'democrats', 'senate', 'courts', 'justice', 'committee', 'teamed', 'reject', 'bill', 'would', 'required', 'background', 'checks', 'buyers', 'gun', 'shows', 'sens', 'richard', 'l.', 'saslaw', 'janet', 'd.', 'howell', 'linda', 't.', 'toddy', 'puller', 'fairfax', 'county', 'democrats', 'voted', 'favor', 'bill', 'sen.', 'ken', 'cuccinelli', 'ii', 'fairfax', 'republican', 'voted', 'current', 'law', 'people', 'buy', 'guns', 'licensed', 'dealers', 'must', 'checked', 'federal', 'database', 'identifies', 'convicted', 'felons', 'others', 'deemed', 'danger', 'community', '22', 'percent', '35', 'percent', 'gun', 'show', 'vendors', 'licenses', 'virginia', 'state', 'police', 'say', 'kaine', 'vote', 'setback', 'especially', 'senate', 'controlled', 'party', 'house', 'defeated', 'bill', 'last', 'week', 'kaine', 'asserted', 'effort', 'neither', 'others', 'could', 'overcome', 'power', 'state', 'gun', 'lobby', 'virginia', 'historic', 'support', 'gun', 'rights', 'spokesman', 'kaine', 'said', 'governor', 'disappointed', 'wednesday', 'vote', 'said', 'many', 'times', 'either', 'believe', 'felon', 'able', 'buy', 'gun', 'spokesman', 'gordon', 'hickey', 'said', 'vote', 'indicates', 'believe', 'felon', 'able', 'buy', 'gun', 'gun', 'show', 'gun', 'rights', 'groups', 'opposed', 'bill', 'saying', 'seung', 'hui', 'cho', 'virginia', 'tech', 'student', 'shot', 'killed', '32', 'people', 'buy', 'two', 'semiautomatic', 'weapons', 'used', 'shootings', 'gun', 'show', 'gun', 'control', 'advocates', 'however', 'said', 'would', 'close', 'loophole', 'state', 'law', 'could', 'allow', 'convicted', 'felons', 'dangerous', 'individuals', 'buy', 'guns', 'commit', 'similar', 'crimes', 'complete', 'utter', 'outrage', 'said', 'abigail', 'spangler', 'founder', 'alexandria-based', 'http', '//protesteasyguns.com', 'lobbied', 'bill', ""'m"", 'offended', 'behalf', 'virginians', 'year', 'tragedy', 'lost', 'fellow', 'virginians', 'largest', 'mass', 'shooting', 'virginia', 'history', 'sen.', 'r.', 'creigh', 'deeds', 'd-bath', 'generally', 'opposes', 'gun', 'restrictions', 'proposed', 'compromise', 'said', 'inspired', 'emotional', 'testimony', 'virginia', 'tech', 'families', ""'ve"", 'never', 'voted', 'legislation', 'like', 'think', 'important', 'end', 'respond', 'fashion', 'tragedy', 'virginia', 'tech', 'deeds', 'said', 'compromise', 'anyone', 'permit', 'carry', 'concealed', 'weapon', 'would', 'exempted', 'background', 'check', 'would', 'buying', 'antique', 'guns', 'addition', 'requirement', 'would', 'apply', 'gun', 'sales', 'take', 'place', 'parking', 'lots', 'outside', 'leased', 'area', 'gun', 'show', 'deed', 'proposal', 'persuade', '15-member', 'committee', 'seven', 'republicans', 'change', 'minds', 'sway', 'two', 'rural', 'democrats', 'including', 'john', 's.', 'edwards', 'roanoke', 'whose', 'district', 'includes', 'virginia', 'tech', 'panel', 'voted', 'send', 'issue', 'virginia', 'crime', 'commission', 'advisory', 'board', 'would', 'craft', 'recommendation', 'future', 'legislative', 'session', 'think', 'crime', 'commission', 'look', 'details', 'try', 'work', 'complexities', 'edwards', 'said', 'vote', 'came', 'relief', 'gun', 'rights', 'advocates', 'urged', 'lawmakers', 'set', 'aside', 'emotions', 'virginia', 'tech', 'tragedy', 'reject', 'bill', 'merits', 'argued', 'would', 'hurt', 'business', 'gun', 'shows', 'put', 'much', 'responsibility', 'backs', 'unlicensed', 'sellers', 'often', 'private', 'citizens', 'sell', 'guns', 'occasionally', 'moreover', 'said', 'would', 'hindered', 'constitutional', 'right', 'bear', 'arms', 'piece', 'property', 'free', 'sell', 'would', 'gotten', 'way', 'said', 'philip', 'van', 'cleave', 'president', 'virginia', 'citizens', 'defense', 'league', 'sen.', 'henry', 'l.', 'marsh', 'iii', 'd-richmond', 'visibly', 'upset', 'bill', 'rejected', 'year', 'several', 'times', 'voted', 'sending', 'crime', 'commission', 'saying', 'burying', 'ground', 'legislation', 'decision', 'continue', 'study', 'issue', 'heartened', 'andrew', 'goddard', 'whose', 'son', 'colin', 'goddard', 'shot', 'four', 'times', 'cho', 'survived', 'know', 'heart', 'side', 'right', 'overcome', 'eventually', 'said', 'goddard', 'henrico', 'county', 'feel', 'confident', 'people', 'virginia', 'one', 'day', 'view', 'comments', 'posted', 'article', '2008', 'washington', 'post', 'company', 'richmond', 'jan.', '23', '--', 'bill', 'would', 'restricted', 'certain', 'gun', 'sales', 'virginia', 'received', 'passionate', 'support', 'survivors', 'virginia', 'tech', 'massacre', 'defeated', 'senate', 'committee', 'wednesday', 'ending', 'major', 'gun', 'control', 'effort', 'year', 'general', 'assembly', 'session', 'legislation', 'failed', 'repeatedly', 'years', 'taken', 'greater', 'urgency', 'year', 'april', '16', 'shootings', 'supporters', 'said', 'year', 'best', 'chance', 'winning', 'approval', 'virginia', 'tech', 'tragedy', 'gov', 'timothy', 'm.', 'kaine', 'made', 'priority', 'republicans', 'rural', 'democrats', 'senate', 'courts', 'justice', 'committee', 'teamed', 'reject', 'bill', 'would', 'required', 'background', 'checks', 'buyers', 'gun', 'shows', 'sens', 'richard', 'l.', 'saslaw', 'janet', 'd.', 'howell', 'linda', 't.', 'toddy', 'puller', 'fairfax', 'county', 'democrats', 'voted', 'favor', 'bill', 'sen.', 'ken', 'cuccinelli', 'ii', 'fairfax', 'republican', 'voted', 'current', 'law', 'people', 'buy', 'guns', 'licensed', 'dealers', 'must', 'checked', 'federal', 'database', 'identifies', 'convicted', 'felons', 'others', 'deemed', 'danger', 'community', '22', 'percent', '35', 'percent', 'gun', 'show', 'vendors', 'licenses', 'virginia', 'state', 'police', 'say', 'kaine', 'vote', 'setback', 'especially', 'senate', 'controlled', 'party', 'house', 'defeated', 'bill', 'last', 'week', 'kaine', 'asserted', 'effort', 'neither', 'others', 'could', 'overcome', 'power', 'state', 'gun', 'lobby', 'virginia', 'historic', 'support', 'gun', 'rights', 'spokesman', 'kaine', 'said', 'governor', 'disappointed', 'wednesday', 'vote', 'said', 'many', 'times', 'either', 'believe', 'felon', 'able', 'buy', 'gun', 'spokesman', 'gordon', 'hickey', 'said', 'vote', 'indicates', 'believe', 'felon', 'able', 'buy', 'gun', 'gun', 'show', 'gun', 'rights', 'groups', 'opposed', 'bill', 'saying', 'seung', 'hui', 'cho', 'virginia', 'tech', 'student', 'shot', 'killed', '32', 'people', 'buy', 'two', 'semiautomatic', 'weapons', 'used', 'shootings', 'gun', 'show', 'gun', 'control', 'advocates', 'however', 'said', 'would', 'close', 'loophole', 'state', 'law', 'could', 'allow', 'convicted', 'felons', 'dangerous', 'individuals', 'buy', 'guns', 'commit', 'similar', 'crimes', 'complete', 'utter', 'outrage', 'said', 'abigail', 'spangler', 'founder', 'alexandria-based', 'http', '//protesteasyguns.com', 'lobbied', 'bill', ""'m"", 'offended', 'behalf', 'virginians', 'year', 'tragedy', 'lost', 'fellow', 'virginians', 'largest', 'mass', 'shooting', 'virginia', 'history', 'sen.', 'r.', 'creigh', 'deeds', 'd-bath', 'generally', 'opposes', 'gun', 'restrictions', 'proposed', 'compromise', 'said', 'inspired', 'emotional', 'testimony', 'virginia', 'tech', 'families', ""'ve"", 'never', 'voted', 'legislation', 'like', 'think', 'important', 'end', 'respond', 'fashion', 'tragedy', 'virginia', 'tech', 'deeds', 'said', 'compromise', 'anyone', 'permit', 'carry', 'concealed', 'weapon', 'would', 'exempted', 'background', 'check', 'would', 'buying', 'antique', 'guns', 'addition', 'requirement', 'would', 'apply', 'gun', 'sales', 'take', 'place', 'parking', 'lots', 'outside', 'leased', 'area', 'gun', 'show', 'deed', 'proposal', 'persuade', '15-member', 'committee', 'seven', 'republicans', 'change', 'minds', 'sway', 'two', 'rural', 'democrats', 'including', 'john', 's.', 'edwards', 'roanoke', 'whose', 'district', 'includes', 'virginia', 'tech', 'panel', 'voted', 'send', 'issue', 'virginia', 'crime', 'commission', 'advisory', 'board', 'would', 'craft', 'recommendation', 'future', 'legislative', 'session', 'think', 'crime', 'commission', 'look', 'details', 'try', 'work', 'complexities', 'edwards', 'said', 'vote', 'came', 'relief', 'gun', 'rights', 'advocates', 'urged', 'lawmakers', 'set', 'aside', 'emotions', 'virginia', 'tech', 'tragedy', 'reject', 'bill', 'merits', 'argued', 'would', 'hurt', 'business', 'gun', 'shows', 'put', 'much', 'responsibility', 'backs', 'unlicensed', 'sellers', 'often', 'private', 'citizens', 'sell', 'guns', 'occasionally', 'moreover', 'said', 'would', 'hindered', 'constitutional', 'right', 'bear', 'arms', 'piece', 'property', 'free', 'sell', 'would', 'gotten', 'way', 'said', 'philip', 'van', 'cleave', 'president', 'virginia', 'citizens', 'defense', 'league', 'sen.', 'henry', 'l.', 'marsh', 'iii', 'd-richmond', 'visibly', 'upset', 'bill', 'rejected', 'year', 'several', 'times', 'voted', 'sending', 'crime', 'commission', 'saying', 'burying', 'ground', 'legislation', 'decision', 'continue', 'study', 'issue', 'heartened', 'andrew', 'goddard', 'whose', 'son', 'colin', 'goddard', 'shot', 'four', 'times', 'cho', 'survived', 'know', 'heart', 'side', 'right', 'overcome', 'eventually', 'said', 'goddard', 'henrico', 'county', 'feel', 'confident', 'people', 'virginia', 'one', 'day', 'view', 'comments', 'posted', 'article']",Omaha,[],0,0,0,[],0,0,0
